,OlfN,TotalN,Tokens
volunteer_NN,439,0,"['volunteer_NNS', 'volunteer_NN', 'volunteer_NNPS', 'volunteer_NNP']"
own_JJ,8583,0,['own_JJ']
peer_NN,377,0,"['peer_NNS', 'peer_NN', 'peer_NNP']"
need_NN,13020,0,"['need_NN', 'need_NNS', 'need_NNP']"
continue_VB,2473,0,"['continue_VB', 'continue_VBP', 'continue_VBN', 'continue_VBZ', 'continue_VBG', 'continue_VBD']"
majority_NN,1401,0,"['majority_NN', 'majority_NNS', 'majority_NNP']"
vessel_NN,55,0,"['vessel_NNS', 'vessel_NN', 'vessel_NNP']"
sculptural_JJ,12,0,['sculptural_JJ']
area_NN,2749,0,"['area_NNS', 'area_NN', 'area_NNP']"
handmade_NN,14,0,['handmade_NN']
mature_VB,61,0,"['mature_VBN', 'mature_VBG', 'mature_VB', 'mature_VBD', 'mature_VBP', 'mature_VBZ']"
black_JJ,763,0,['black_JJ']
leader_NN,1315,0,"['leader_NNS', 'leader_NN', 'leader_NNP', 'leader_NNPS']"
true_JJ,2206,0,"['true_JJ', 'true_JJR', 'true_JJS']"
community_NN,4976,0,"['community_NN', 'community_NNS', 'community_NNPS', 'community_NNP']"
miller_NN,119,0,"['miller_NNP', 'miller_NNS']"
follow_VB,1390,0,"['follow_VBD', 'follow_VBP', 'follow_VBG', 'follow_VB', 'follow_VBN', 'follow_VBZ']"
procedure_NN,458,0,"['procedure_NNS', 'procedure_NN', 'procedure_NNP']"
signature_NN,59,0,"['signature_NNS', 'signature_NN', 'signature_NNP']"
design_NN,755,0,"['design_NN', 'design_NNS', 'design_NNP']"
spinning_JJ,86,0,['spinning_JJ']
surface_NN,459,0,"['surface_NN', 'surface_NNS', 'surface_NNP', 'surface_NNPS']"
installation_NN,60,0,"['installation_NNS', 'installation_NN']"
thompson_NN,54,0,['thompson_NNP']
confidence_NN,1240,0,"['confidence_NN', 'confidence_NNS']"
regard_NN,563,0,['regard_NN']
sign_NN,412,0,"['sign_NNS', 'sign_NN', 'sign_NNP']"
indicate_VB,1302,0,"['indicate_VBP', 'indicate_VBD', 'indicate_VBZ', 'indicate_VBN', 'indicate_VB', 'indicate_VBG']"
still_RB,11099,0,['still_RB']
kinship_NN,408,0,"['kinship_NN', 'kinship_NNS']"
hour_NN,1180,0,"['hour_NNS', 'hour_NN', 'hour_NNP']"
more_RB,21977,0,['more_RBR']
calorie_NN,52,0,"['calorie_NNS', 'calorie_NN']"
take_VB,6854,0,"['take_VB', 'take_VBN', 'take_VBD', 'take_VBG', 'take_VBP', 'take_VBZ']"
board_NN,1751,0,"['board_NN', 'board_NNP', 'board_NNS', 'board_NNPS']"
enormous_JJ,326,0,['enormous_JJ']
defense_NN,302,0,"['defense_NN', 'defense_NNS', 'defense_NNP']"
spending_NN,168,0,['spending_NN']
internal_JJ,363,0,['internal_JJ']
think_VB,9773,0,"['think_VBP', 'think_VB', 'think_VBD', 'think_VBG', 'think_VBZ', 'think_VBN']"
ready_JJ,1613,0,"['ready_JJ', 'ready_JJR']"
while_NN,514,0,['while_NN']
home_NN,7830,0,"['home_NN', 'home_NNS', 'home_NNP', 'home_NNPS']"
long_RB,1670,0,['long_RB']
proud_JJ,2292,0,"['proud_JJ', 'proud_JJS', 'proud_JJR']"
motivation_NN,302,0,"['motivation_NNS', 'motivation_NN']"
crush_VB,161,0,"['crush_VBN', 'crush_VBG', 'crush_VBD', 'crush_VBZ', 'crush_VB']"
confused_JJ,749,0,['confused_JJ']
useless_JJ,202,0,['useless_JJ']
unsolicited_JJ,23,0,['unsolicited_JJ']
nevertheless_RB,729,0,['nevertheless_RB']
compel_VB,5386,0,"['compel_VBN', 'compel_VBD', 'compel_VB', 'compel_VBZ', 'compel_VBG']"
add_VB,2314,0,"['add_VB', 'add_VBZ', 'add_VBD', 'add_VBG', 'add_VBN', 'add_VBP']"
find_VB,3747,0,"['find_VB', 'find_VBP', 'find_VBN', 'find_VBZ', 'find_VBG', 'find_VBD']"
doctor_NN,1404,0,"['doctor_NNP', 'doctor_NNS', 'doctor_NN']"
government_NN,3417,0,"['government_NN', 'government_NNS', 'government_NNP']"
spirit_NN,1241,0,"['spirit_NN', 'spirit_NNS', 'spirit_NNP']"
commit_VB,467,0,"['commit_VBN', 'commit_VB', 'commit_VBG', 'commit_VBD', 'commit_VBP', 'commit_VBZ']"
sit_VB,1068,0,"['sit_VB', 'sit_VBG', 'sit_VBD', 'sit_VBP', 'sit_VBZ', 'sit_VBN']"
ironically_RB,50,0,['ironically_RB']
offer_VB,1408,0,"['offer_VBP', 'offer_VBZ', 'offer_VB', 'offer_VBG', 'offer_VBD', 'offer_VBN']"
deeply_RB,2833,0,"['deeply_RB', 'deeply_RBR']"
tribute_NN,39,0,"['tribute_NN', 'tribute_NNS', 'tribute_NNP']"
modest_JJ,77,0,['modest_JJ']
humble_JJ,193,0,"['humble_JJ', 'humble_JJS']"
honestly_RB,500,0,['honestly_RB']
like_VB,2177,0,"['like_VBP', 'like_VB', 'like_VBN', 'like_VBD', 'like_VBZ', 'like_VBG']"
animus_NN,11,0,['animus_NN']
someone_NN,3596,0,"['someone_NN', 'someone_NNS', 'someone_NNP']"
seek_VB,841,0,"['seek_VB', 'seek_VBG', 'seek_VBN', 'seek_VBP', 'seek_VBD', 'seek_VBZ']"
counsel_NN,104,0,"['counsel_NN', 'counsel_NNP']"
anorexia_NN,26,0,"['anorexia_NN', 'anorexia_NNP']"
will_MD,25992,0,['will_MD']
die_VB,793,0,"['die_VB', 'die_VBD', 'die_VBG', 'die_VBZ', 'die_VBN', 'die_VBP']"
useful_JJ,886,0,['useful_JJ']
place_NN,3825,0,"['place_NN', 'place_NNS', 'place_NNP', 'place_NNPS']"
help_VB,10806,0,"['help_VB', 'help_VBZ', 'help_VBG', 'help_VBN', 'help_VBP', 'help_VBD']"
abiding_JJ,38,0,['abiding_JJ']
honor_VB,1259,0,"['honor_VBN', 'honor_VBD', 'honor_VB', 'honor_VBG', 'honor_VBP']"
therapist_NN,187,0,"['therapist_NN', 'therapist_NNS']"
trust_VB,633,0,"['trust_VB', 'trust_VBN', 'trust_VBG', 'trust_VBP', 'trust_VBD']"
race_NN,583,0,"['race_NN', 'race_NNS', 'race_NNP']"
bless_VB,714,0,"['bless_VBN', 'bless_VBD', 'bless_VB', 'bless_VBP', 'bless_VBZ']"
disappointment_NN,589,0,"['disappointment_NN', 'disappointment_NNS']"
almost_RB,3818,0,['almost_RB']
sorry_JJ,4584,0,"['sorry_JJ', 'sorry_JJS', 'sorry_JJR']"
return_VB,1045,0,"['return_VB', 'return_VBN', 'return_VBG', 'return_VBP', 'return_VBD', 'return_VBZ']"
anyone_NN,2061,0,"['anyone_NN', 'anyone_NNP']"
visit_VB,704,0,"['visit_VB', 'visit_VBD', 'visit_VBG', 'visit_VBN', 'visit_VBP', 'visit_VBZ']"
day_NN,5378,0,"['day_NNS', 'day_NN', 'day_NNP', 'day_NNPS']"
connection_NN,1525,0,"['connection_NN', 'connection_NNS', 'connection_NNP']"
could_MD,19261,0,['could_MD']
call_VB,3324,0,"['call_VBD', 'call_VB', 'call_VBN', 'call_VBG', 'call_VBZ', 'call_VBP']"
substitute_VB,77,0,"['substitute_VB', 'substitute_VBN', 'substitute_VBP', 'substitute_VBG', 'substitute_VBD']"
mouth_NN,497,0,"['mouth_NN', 'mouth_NNS', 'mouth_NNP']"
bind_VB,1127,0,"['bind_VBN', 'bind_VBZ', 'bind_VBD']"
therefore_RB,1929,0,['therefore_RB']
capture_VB,634,0,"['capture_VBN', 'capture_VBP', 'capture_VBG', 'capture_VB', 'capture_VBZ', 'capture_VBD']"
tie_NN,219,0,"['tie_NNS', 'tie_NN', 'tie_NNP']"
grain_NN,57,0,"['grain_NNS', 'grain_NN', 'grain_NNP']"
comfortably_RB,122,0,['comfortably_RB']
few_JJ,2535,0,"['few_JJR', 'few_JJ', 'few_JJS']"
refined_JJ,25,0,['refined_JJ']
q._NN,24,0,['q._NNP']
californian_NN,44,0,"['californian_NN', 'californian_NNPS', 'californian_NNS']"
pull_VB,629,0,"['pull_VBN', 'pull_VB', 'pull_VBD', 'pull_VBG', 'pull_VBZ', 'pull_VBP']"
conservative_NN,254,0,"['conservative_NNS', 'conservative_NNPS', 'conservative_NN', 'conservative_NNP']"
often_RB,7802,0,['often_RB']
afraid_JJ,861,0,['afraid_JJ']
help_NN,896,0,['help_NN']
proper_JJ,473,0,['proper_JJ']
